NETWORK_SPD_LOWER_THAN_2000,NETWORK_SQI_VOICE,SURVEY_CITY_SIZE,PRODUCT_GROUP_TARIFF,NETWORK_4G_SHARE,SNAP_DATE_DAY,PROFILE_DEVICE_OS,FILIAL_ID,NETWORK_VOWIFI,SURVEY_ARPU_GROUP,PRODUCT_TARIFF_CHANGE,NETWORK_DURATION_2G,NPS,SURVEY_AGE_GROUP,NETWORK_VOLTE,PRODUCT_EVA_TYPE,PROFILE_KINOPOISK,SURVEY_GENDER,NETWORK_OVERLOAD,NETWORK_DURATION_4G,SURVEY_OPERATOR_AGE_GROUP,PROFILE_DEVICE_PRICE,NETWORK_SPEED_LTE,NETWORK_SQI_DATA,PRODUCT_NAME_LINE_TP,REGION_FILIAL,PROFILE_DEVICE_TYPE,PRODUCT_PEREPLATY,NETWORK_PROSTOI
20...80%,98..99.5%,Средний,СНГ,c. 80-90%,2023-06-26,Прочее,3.0,Есть,Средний,Прочее,Прочее,-0.0,35-44,До 80%,Ева+,100MB - 1GB,Муж,До 15 дней,Прочее,25-34,До 10 тыс. руб.,>10 Mbps,Прочее,Без переплат - Линейка 2.2,Столичный филиал,ROUTER,До 40 руб,Более 24 часов
Прочее,<98%,Малый,Все включено,a. <100 MB,2024-04-30,Android,3.0,Нет,Низкий,Прочее,Более 20%,-0.013113721148363795,35-44,До 80%,Ева+,100MB - 1GB,Жен,Более 15 дней,Менее 80%,18-24,Более 50 тыс. руб,Прочее,Прочее,Переходи на НОЛЬ 2020,Уральский филиал,UNDEFINED,До 40 руб,Более 24 часов
Менее 20%,<98%,Большой,ПД,d. >90%,2023-06-11,Прочее,16.0,Есть,Высокий,До 30 дней,Более 20%,1.0,25-34,Не VoLTE,Ева МЛК,До 100MB,Не определен,Более 15 дней,Более 80%,45-54,10-25 тыс. руб.,<2 Mbps,<98%,Управляй! 3.0,Сибирский филиал,DATA CARD,До 40 руб,1-5 часов
20...80%,<98%,Средний,Прочие,d. >90%,2024-07-28,Прочее,9.0,Нет,Низкий,91-180 дней,Прочее,-0.028342399338256042,18-24,До 80%,Ева+,Более 1GB,Муж,Нет,Прочее,55+,До 10 тыс. руб.,5...10 Mbps,>99.5%,Тёплый приём - линейка 2.0,Кавказский филиал,PHONE,Более 40 руб,Риск простоя
Прочее,>99.5%,Средний,Агентский конвергент,c. 80-90%,2023-05-30,Android,14.0,Нет,Низкий,Прочее,Менее 5%,-0.019974960742672077,55+,Не VoLTE,Ева Volte,До 100MB,Жен,До 15 дней,Менее 80%,55+,25-50 тыс. руб.,2...5 Mbps,Прочее,Включайся! - Линейка 3.1,Северо-Западный филиал,LAPTOP,Более 40 руб,1-5 часов
Более 80%,<98%,Большой,Внутрисетевые,d. >90%,2024-03-09,Прочее,16.0,Есть,Высокий,Более 366 дней,Прочее,0.049728467895112954,55+,Не VoLTE,Ева Volte,До 100MB,Муж,До 15 дней,Менее 80%,55+,25-50 тыс. руб.,>10 Mbps,Прочее,Без переплат - Линейка 1.2,Северо-Западный филиал,SMART WATCH,До 40 руб,1-5 часов
Прочее,>99.5%,Малый,Все мобильные,b. <80%,2023-06-06,Прочее,9.0,Нет,Низкий,91-180 дней,Более 20%,-0.15384580843380122,35-44,До 80%,Ева Volte,100MB - 1GB,Муж,Нет,Более 80%,25-34,Нет данных,<2 Mbps,<98%,Мегафон – Линейка 3.2,Кавказский филиал,USB MODEM,До 40 руб,Нет простоя
Менее 20%,<98%,Малый,СНГ,d. >90%,2024-01-28,Android,5.0,Нет,Низкий,181-366 дней,Прочее,0.26445479115394405,55+,Более 80%,Ева Volte,До 100MB,Не определен,Более 15 дней,Менее 80%,55+,10-25 тыс. руб.,>10 Mbps,Прочее,FMC - продукты для агентов,Центральный филиал,TABLET,Более 40 руб,1-5 часов
Прочее,Прочее,Средний,Все включено,a. <100 MB,2023-08-23,Прочее,13.0,Нет,Средний,31-90 дней,Более 20%,-0.9020462138605897,55,Более 80%,Ева+,До 100MB,Муж,Нет,Менее 80%,55+,Более 50 тыс. руб,2...5 Mbps,Прочее,CVM,Сибирский филиал,TABLET,Более 40 руб,Риск простоя
Прочее,Прочее,Малый,Персональные,a. <100 MB,2023-12-02,Прочее,15.0,Нет,Средний,До 30 дней,Более 20%,-0.24619971055637405,45-54,Не VoLTE,Ева МЛК,Более 1GB,Не определен,Более 15 дней,Более 80%,35-44,До 10 тыс. руб.,<2 Mbps,Прочее,ВВ - 05.17 (XS/L/XL/VIP),Уральский филиал,ROUTER,Более 40 руб,5-24 часа
Прочее,>99.5%,Большой,Включайся!,d. >90%,2023-08-24,iOS,4.0,Есть,Низкий,Более 366 дней,Менее 5%,-0.13511296015154836,45-54,Более 80%,Ева+,100MB - 1GB,Жен,Более 15 дней,Менее 80%,55+,Нет данных,Прочее,<98%,Включайся! - Линейка 3.4.3 - Прочие ТП,Столичный филиал,UNDEFINED,Более 40 руб,5-24 часа
20...80%,98..99.5%,Малый,Персональные,c. 80-90%,2023-12-15,Android,14.0,Есть,Высокий,31-90 дней,Прочее,0.3017804741068091,55+,Более 80%,Ева+,Более 1GB,Муж,Более 15 дней,Прочее,55+,Более 50 тыс. руб,Прочее,<98%,Агентская линейка 2022,Столичный филиал,SMART WATCH,До 40 руб,1-5 часов
Более 80%,Прочее,Большой,Все мобильные,b. <80%,2023-02-19,Android,7.0,Есть,Средний,91-180 дней,Более 20%,-0.053996700673698494,45-54,Не VoLTE,Ева МЛК,Более 1GB,Не определен,До 15 дней,Прочее,45-54,10-25 тыс. руб.,<2 Mbps,Прочее,CVM - 28 дней,Уральский филиал,ROUTER,Нет переплат,Нет простоя
Менее 20%,<98%,Средний,Все включено,b. <80%,2023-05-23,Прочее,4.0,Есть,Низкий,91-180 дней,Прочее,0.11680812067219047,55+,Более 80%,Ева МЛК,100MB - 1GB,Не определен,До 15 дней,Менее 80%,55+,10-25 тыс. руб.,Прочее,Прочее,Без переплат - Линейка 1.3,Столичный филиал,LAPTOP,До 40 руб,Более 24 часов
Прочее,<98%,Большой,Сэмплинг,d. >90%,2023-12-25,iOS,17.0,Нет,Низкий,Прочее,5...20%,0.03409158696832615,35-44,Не VoLTE,Ева МЛК,Более 1GB,Не определен,До 15 дней,Более 80%,35-44,25-50 тыс. руб.,5...10 Mbps,<98%,Включайся! - Линейка 3.4.2 - Прочие ТП,Столичный филиал,SMART WATCH,Более 40 руб,Риск простоя
Менее 20%,Прочее,Малый,ПД,a. <100 MB,2024-06-22,Android,9.0,Нет,Высокий,181-366 дней,Более 20%,-0.002619236430540647,25-34,До 80%,Ева Volte,Более 1GB,Не определен,Более 15 дней,Прочее,55+,Более 50 тыс. руб,>10 Mbps,<98%,Включайся! - Линейка 2.1,Центральный филиал,SMART WATCH,Более 40 руб,1-5 часов
Менее 20%,<98%,Малый,Без переплат,c. 80-90%,2023-05-20,iOS,4.0,Нет,Высокий,181-366 дней,Менее 5%,0.0,55+,Не VoLTE,Ева Volte,Нет,Жен,До 15 дней,Менее 80%,18-24,10-25 тыс. руб.,2...5 Mbps,>99.5%,Тарифные планы FMC - Объединяй 1.0,Северо-Западный филиал,PHONE,Нет переплат,5-24 часа
Прочее,98..99.5%,Малый,ПД,a. <100 MB,2024-05-02,Прочее,3.0,Есть,Низкий,91-180 дней,Менее 5%,-0.05893409736187161,45-54,До 80%,Ева+,До 100MB,Жен,Нет,Более 80%,18-24,10-25 тыс. руб.,5...10 Mbps,98...99.5%,Новая линейка ПД 2022,Уральский филиал,LAPTOP,До 40 руб,Риск простоя
Менее 20%,Прочее,Средний,Все мобильные,a. <100 MB,2024-12-04,Прочее,19.0,Нет,Средний,Прочее,5...20%,-0.0,35-44,Более 80%,Ева Volte,Нет,Муж,Более 15 дней,Менее 80%,55+,10-25 тыс. руб.,Прочее,Прочее,Тёплый приём - линейка 3.0,Центральный филиал,LAPTOP,Более 40 руб,1-5 часов
20...80%,>99.5%,Малый,Агентский конвергент,c. 80-90%,2023-03-03,Android,9.0,Нет,Высокий,Прочее,Более 20%,0.051662251334203164,55+,До 80%,Ева+,100MB - 1GB,Не определен,Нет,Прочее,35-44,Нет данных,5...10 Mbps,>99.5%,China,Поволжский филиал,USB MODEM,До 40 руб,Более 24 часов
Прочее,>99.5%,Средний,Сэмплинг,b. <80%,2024-12-02,Android,8.0,Есть,Высокий,31-90 дней,Более 20%,-0.4518784303590442,35-44,Не VoLTE,Ева МЛК,До 100MB,Жен,Нет,Прочее,55+,10-25 тыс. руб.,Прочее,>99.5%,Тёплый приём - линейка 3.1,Центральный филиал,USB MODEM,Более 40 руб,1-5 часов
Менее 20%,>99.5%,Малый,ПД,b. <80%,2024-09-24,Android,7.0,Есть,Средний,31-90 дней,Менее 5%,-1.0,25-34,Более 80%,Ева Volte,100MB - 1GB,Муж,Более 15 дней,Прочее,55+,Нет данных,Прочее,Прочее,B2B пакеты Lego,Северо-Западный филиал,LAPTOP,Более 40 руб,5-24 часа
Менее 20%,Прочее,Большой,Прочие,b. <80%,2024-08-13,iOS,7.0,Есть,Средний,Более 366 дней,5...20%,-0.44446649040191183,55+,До 80%,Ева+,До 100MB,Не определен,Нет,Более 80%,55+,Более 50 тыс. руб,>10 Mbps,Прочее,Включайся! - Линейка 2.2,Поволжский филиал,LAPTOP,Более 40 руб,1-5 часов
Прочее,Прочее,Малый,Включайся!,a. <100 MB,2023-05-08,iOS,4.0,Нет,Низкий,До 30 дней,5...20%,-0.3618492572769587,35-44,До 80%,Ева Volte,До 100MB,Жен,До 15 дней,Прочее,18-24,Нет данных,2...5 Mbps,<98%,Тёплый приём - линейка 7.1,Центральный филиал,NETWORK DEVICE,Нет переплат,1-5 часов
20...80%,>99.5%,Малый,СНГ,c. 80-90%,2024-07-19,iOS,19.0,Нет,Высокий,181-366 дней,Более 20%,0.2761906228797124,45-54,Более 80%,Ева+,Более 1GB,Жен,До 15 дней,Более 80%,55+,10-25 тыс. руб.,>10 Mbps,>99.5%,Без переплат - Линейка 2.2,Уральский филиал,ROUTER,Нет переплат,Нет простоя
Менее 20%,>99.5%,Малый,Сэмплинг,a. <100 MB,2023-06-16,Android,12.0,Есть,Низкий,Прочее,Более 20%,0.4995624672975829,55+,До 80%,Ева Volte,Нет,Муж,До 15 дней,Прочее,18-24,25-50 тыс. руб.,Прочее,Прочее,ВВ - Архивный (версия 12.16),Уральский филиал,UNDEFINED,До 40 руб,1-5 часов
Прочее,98..99.5%,Малый,Прочие,d. >90%,2024-03-21,iOS,6.0,Нет,Низкий,181-366 дней,5...20%,-0.7062613059640552,55+,До 80%,Ева Volte,До 100MB,Не определен,До 15 дней,Менее 80%,35-44,10-25 тыс. руб.,5...10 Mbps,98...99.5%,Линейка продуктов для агентского канала,Уральский филиал,DATA CARD,Нет переплат,5-24 часа
Менее 20%,Прочее,Большой,Сэмплинг,a. <100 MB,2024-04-25,Прочее,12.0,Есть,Средний,Прочее,5...20%,0.2516403337895955,35-44,Не VoLTE,Ева+,До 100MB,Не определен,Нет,Более 80%,45-54,10-25 тыс. руб.,<2 Mbps,<98%,Тёплый приём - линейка 2.0,Дальневосточный филиал,SMARTPHONE,Нет переплат,1-5 часов
Более 80%,>99.5%,Большой,Без переплат,d. >90%,2024-11-21,Android,4.0,Нет,Высокий,До 30 дней,5...20%,-0.10036203803822626,55+,Не VoLTE,Ева МЛК,Более 1GB,Жен,До 15 дней,Более 80%,55+,10-25 тыс. руб.,<2 Mbps,Прочее,CVM - 28 дней,Поволжский филиал,UNDEFINED,Нет переплат,Риск простоя
20...80%,>99.5%,Малый,Включайся!,b. <80%,2023-06-04,iOS,2.0,Нет,Низкий,Более 366 дней,Более 20%,0.4333673998445266,55+,Не VoLTE,Ева Volte,Нет,Жен,Нет,Более 80%,35-44,Более 50 тыс. руб,2...5 Mbps,>99.5%,China,Дальневосточный филиал,PHONE,Нет переплат,5-24 часа
Прочее,98..99.5%,Большой,Агентский конвергент,c. 80-90%,2023-05-30,Прочее,15.0,Есть,Высокий,31-90 дней,5...20%,-1.0,18-24,До 80%,Ева Volte,Более 1GB,Жен,До 15 дней,Прочее,55+,25-50 тыс. руб.,>10 Mbps,<98%,Тёплый приём - линейка 4.1,Сибирский филиал,TABLET,До 40 руб,Риск простоя
20...80%,98..99.5%,Большой,Агентский конвергент,a. <100 MB,2023-10-20,iOS,6.0,Есть,Средний,31-90 дней,Менее 5%,-0.04896871974731585,25-34,Не VoLTE,Ева Volte,До 100MB,Муж,До 15 дней,Менее 80%,55+,10-25 тыс. руб.,<2 Mbps,98...99.5%,ВСР - Отмена,Сибирский филиал,TABLET,Более 40 руб,1-5 часов
Более 80%,>99.5%,Большой,Сэмплинг,a. <100 MB,2024-11-22,iOS,18.0,Нет,Средний,Прочее,Более 20%,0.0,55+,Не VoLTE,Ева МЛК,100MB - 1GB,Жен,Более 15 дней,Менее 80%,35-44,Нет данных,5...10 Mbps,Прочее,China,Северо-Западный филиал,UNDEFINED,Нет переплат,5-24 часа
Прочее,<98%,Большой,Прочие,a. <100 MB,2024-08-18,Android,5.0,Нет,Низкий,31-90 дней,5...20%,0.02090535244779186,18-24,Более 80%,Ева МЛК,100MB - 1GB,Муж,До 15 дней,Прочее,55+,До 10 тыс. руб.,2...5 Mbps,Прочее,Без переплат - Линейка 1.5,Поволжский филиал,LAPTOP,Более 40 руб,Нет простоя
Более 80%,98..99.5%,Большой,Без переплат,d. >90%,2024-08-24,Android,4.0,Есть,Средний,181-366 дней,Более 20%,0.10739059830295564,35-44,Не VoLTE,Ева+,100MB - 1GB,Не определен,До 15 дней,Менее 80%,25-34,Более 50 тыс. руб,5...10 Mbps,98...99.5%,Новая линейка ПД 2020,Поволжский филиал,PHONE,Нет переплат,Нет простоя
Менее 20%,98..99.5%,Малый,Без переплат,a. <100 MB,2023-01-13,Android,11.0,Нет,Средний,31-90 дней,Прочее,-0.06700347431698167,55+,Более 80%,Ева+,100MB - 1GB,Муж,Более 15 дней,Менее 80%,25-34,25-50 тыс. руб.,Прочее,Прочее,Включайся! - Линейка 3.1,Сибирский филиал,USB MODEM,До 40 руб,Более 24 часов
20...80%,>99.5%,Средний,Все мобильные,b. <80%,2023-08-04,Android,11.0,Нет,Низкий,181-366 дней,Менее 5%,-0.10716485638700253,35-44,До 80%,Ева+,100MB - 1GB,Не определен,До 15 дней,Прочее,55+,Более 50 тыс. руб,2...5 Mbps,<98%,Тарифные планы FMC - Объединяй 4.0,Столичный филиал,PHONE,Нет переплат,1-5 часов
Прочее,>99.5%,Большой,ПД,d. >90%,2023-08-22,Прочее,9.0,Нет,Низкий,Прочее,Более 20%,-0.010277086573753993,55+,До 80%,Ева Volte,Нет,Муж,До 15 дней,Более 80%,55+,Более 50 тыс. руб,>10 Mbps,98...99.5%,Без переплат - Линейка 1.4,Центральный филиал,SMARTPHONE,До 40 руб,5-24 часа
Более 80%,>99.5%,Средний,Без переплат,d. >90%,2024-11-03,Android,3.0,Есть,Средний,До 30 дней,5...20%,0.07584624305378111,25-34,Более 80%,Ева+,100MB - 1GB,Муж,Более 15 дней,Прочее,45-54,10-25 тыс. руб.,Прочее,98...99.5%,Включайся! - Линейка 3.1,Дальневосточный филиал,ROUTER,До 40 руб,Риск простоя
Менее 20%,<98%,Большой,Персональные,d. >90%,2024-03-01,iOS,11.0,Нет,Средний,91-180 дней,Более 20%,-0.4478984092000861,55+,Не VoLTE,Ева+,Более 1GB,Жен,Более 15 дней,Более 80%,25-34,Нет данных,<2 Mbps,>99.5%,Тарифные планы FMC - Объединяй 1.0,Кавказский филиал,ROUTER,Нет переплат,5-24 часа
20...80%,<98%,Малый,Внутрисетевые,d. >90%,2024-12-27,Android,2.0,Нет,Низкий,Прочее,Менее 5%,0.5924554151876423,35-44,Более 80%,Ева Volte,100MB - 1GB,Не определен,Более 15 дней,Прочее,55+,Нет данных,2...5 Mbps,<98%,Включайся! - Линейка 3.4.1 - Прочие ТП,Центральный филиал,SMART WATCH,До 40 руб,Более 24 часов
Более 80%,98..99.5%,Средний,Персональные,a. <100 MB,2024-02-18,iOS,9.0,Есть,Низкий,181-366 дней,Более 20%,-0.5679774455294889,55+,Не VoLTE,Ева Volte,До 100MB,Не определен,До 15 дней,Менее 80%,55+,10-25 тыс. руб.,>10 Mbps,98...99.5%,Включайся! - Линейка 2.1,Кавказский филиал,TABLET,До 40 руб,Нет простоя
Прочее,<98%,Большой,Без переплат,c. 80-90%,2024-01-28,Android,10.0,Нет,Высокий,До 30 дней,Менее 5%,0.4534244624367348,55+,До 80%,Ева МЛК,Более 1GB,Муж,До 15 дней,Менее 80%,55+,10-25 тыс. руб.,Прочее,<98%,Без переплат - Линейка 1.1,Северо-Западный филиал,PHONE,Нет переплат,Более 24 часов
Прочее,98..99.5%,Большой,Прочие,c. 80-90%,2024-02-08,iOS,11.0,Нет,Средний,Более 366 дней,Более 20%,-0.41413645325787934,55+,Не VoLTE,Ева+,Более 1GB,Жен,Более 15 дней,Более 80%,55+,25-50 тыс. руб.,Прочее,<98%,Тёплый приём - линейка 5.0,Поволжский филиал,TABLET,Нет переплат,5-24 часа
Более 80%,Прочее,Малый,Сэмплинг,a. <100 MB,2024-10-08,iOS,3.0,Есть,Высокий,Прочее,5...20%,-0.4241659035681487,55+,Не VoLTE,Ева Volte,До 100MB,Не определен,Нет,Более 80%,55+,До 10 тыс. руб.,Прочее,<98%,Без переплат - Линейка 1.0,Сибирский филиал,ROUTER,Более 40 руб,5-24 часа
Менее 20%,Прочее,Большой,Персональные,d. >90%,2023-08-21,Android,17.0,Нет,Средний,Прочее,Более 20%,-0.17958913732566745,55+,Более 80%,Ева МЛК,100MB - 1GB,Не определен,Более 15 дней,Более 80%,45-54,25-50 тыс. руб.,5...10 Mbps,Прочее,ВСР - Отмена,Столичный филиал,USB MODEM,До 40 руб,Более 24 часов
Менее 20%,Прочее,Малый,Внутрисетевые,b. <80%,2024-02-07,Android,11.0,Нет,Низкий,Более 366 дней,Более 20%,-0.11520109206178104,35-44,До 80%,Ева+,До 100MB,Не определен,До 15 дней,Более 80%,55+,До 10 тыс. руб.,>10 Mbps,98...99.5%,Включайся! - Линейка 3.3 - Прочие ТП,Поволжский филиал,DATA CARD,До 40 руб,1-5 часов
Более 80%,98..99.5%,Малый,Персональные,a. <100 MB,2024-01-13,iOS,17.0,Нет,Высокий,31-90 дней,5...20%,-0.1327095474028277,55+,Более 80%,Ева Volte,Более 1GB,Муж,Нет,Более 80%,25-34,До 10 тыс. руб.,>10 Mbps,>99.5%,Переходи на НОЛЬ,Кавказский филиал,TABLET,До 40 руб,Риск простоя
Более 80%,Прочее,Малый,Все включено,b. <80%,2023-04-22,Android,19.0,Нет,Высокий,До 30 дней,Менее 5%,-0.7745454548495,45-54,Не VoLTE,Ева МЛК,Более 1GB,Не определен,Более 15 дней,Менее 80%,55+,Более 50 тыс. руб,Прочее,>99.5%,PowerNET 2.0,Уральский филиал,NETWORK DEVICE,Нет переплат,5-24 часа
20...80%,98..99.5%,Большой,Все мобильные,d. >90%,2023-08-23,Прочее,4.0,Есть,Средний,Более 366 дней,Менее 5%,-0.08889769073420918,55+,Более 80%,Ева МЛК,До 100MB,Жен,Более 15 дней,Менее 80%,35-44,25-50 тыс. руб.,>10 Mbps,98...99.5%,Переходи на НОЛЬ,Поволжский филиал,UNDEFINED,Более 40 руб,Нет простоя
20...80%,98..99.5%,Средний,ПД,d. >90%,2024-01-13,Прочее,2.0,Есть,Низкий,Прочее,Менее 5%,-0.004511674403540016,55+,Более 80%,Ева+,Нет,Жен,Более 15 дней,Прочее,35-44,25-50 тыс. руб.,Прочее,>99.5%,Включайся! - Линейка 3.4.2 - Прочие ТП,Дальневосточный филиал,SMART WATCH,Нет переплат,Риск простоя
20...80%,98..99.5%,Большой,Включайся!,a. <100 MB,2023-06-16,Прочее,14.0,Нет,Низкий,91-180 дней,Прочее,0.13584440937651127,45-54,Не VoLTE,Ева+,Более 1GB,Муж,До 15 дней,Прочее,25-34,Более 50 тыс. руб,<2 Mbps,>99.5%,PowerNET 2.0,Уральский филиал,DATA CARD,Нет переплат,1-5 часов
Более 80%,98..99.5%,Большой,Прочие,b. <80%,2024-04-14,Android,15.0,Нет,Высокий,До 30 дней,Прочее,-0.0912373746604804,35-44,До 80%,Ева Volte,100MB - 1GB,Муж,До 15 дней,Менее 80%,45-54,Нет данных,<2 Mbps,98...99.5%,Управляй! 3.0,Столичный филиал,PHONE,Более 40 руб,Риск простоя
Более 80%,>99.5%,nan,Агентский конвергент,c. 80-90%,2024-11-22,Android,3.0,Есть,Высокий,Прочее,Менее 5%,0.035012851506926006,45-54,Более 80%,Ева Volte,Более 1GB,Жен,Более 15 дней,Прочее,55,Более 50 тыс. руб,5...10 Mbps,>99.5%,Без переплат - Линейка 2.3,Поволжский филиал,PHONE,Нет переплат,Более 24 часов
Более 80%,Прочее,Большой,Все мобильные,a. <100 MB,2024-11-02,Android,13.0,Есть,Низкий,До 30 дней,Прочее,-0.0,35-44,До 80%,Ева Volte,Нет,Муж,Нет,Менее 80%,55+,25-50 тыс. руб.,>10 Mbps,>99.5%,Тарифные планы FMC - Объединяй 6.2,Северо-Западный филиал,DATA CARD,До 40 руб,1-5 часов
Менее 20%,Прочее,Большой,Внутрисетевые,c. 80-90%,2023-09-14,Android,13.0,Нет,Средний,181-366 дней,Прочее,0.006475657708304334,18-24,До 80%,Ева МЛК,Нет,Жен,До 15 дней,Менее 80%,55,Более 50 тыс. руб,Прочее,<98%,Тёплый приём - линейка 5.0,Северо-Западный филиал,LAPTOP,Нет переплат,Риск простоя
Более 80%,Прочее,Малый,Агентский конвергент,d. >90%,2023-09-20,Прочее,18.0,Есть,Средний,До 30 дней,Более 20%,-0.12199122160198986,55+,Не VoLTE,Ева+,100MB - 1GB,Не определен,Нет,Менее 80%,25-34,10-25 тыс. руб.,2...5 Mbps,<98%,ВВ - Архивный (версия 12.16),Дальневосточный филиал,TABLET,Нет переплат,Риск простоя
Более 80%,Прочее,Большой,Персональные,c. 80-90%,2024-12-28,iOS,7.0,Есть,Средний,Более 366 дней,Более 20%,0.0,55+,Не VoLTE,Ева Volte,Нет,Не определен,Более 15 дней,Более 80%,55+,10-25 тыс. руб.,5...10 Mbps,>99.5%,Включайся! - Линейка 3.4.3 - Прочие ТП,Столичный филиал,LAPTOP,До 40 руб,1-5 часов
Более 80%,98..99.5%,Средний,Прочие,c. 80-90%,2023-10-02,Android,16.0,Нет,Средний,Прочее,5...20%,-0.37176451243837516,45-54,До 80%,Ева Volte,100MB - 1GB,Муж,До 15 дней,Более 80%,55+,До 10 тыс. руб.,<2 Mbps,<98%,FMC - продукты для агентов,Дальневосточный филиал,LAPTOP,Нет переплат,5-24 часа
Менее 20%,>99.5%,Малый,ПД,a. <100 MB,2024-10-05,Android,16.0,Есть,Средний,Прочее,5...20%,-0.2093435032966764,45-54,Более 80%,Ева МЛК,Нет,Муж,До 15 дней,Более 80%,55+,Нет данных,Прочее,>99.5%,CVM: Персональный 3.0,Кавказский филиал,SMART WATCH,До 40 руб,5-24 часа
20...80%,<98%,Большой,Включайся!,c. 80-90%,2023-08-09,Android,6.0,Есть,Низкий,Прочее,Менее 5%,-0.6826476551673778,55+,До 80%,Ева Volte,До 100MB,Жен,Нет,Менее 80%,55+,10-25 тыс. руб.,<2 Mbps,Прочее,Агентская линейка 2022,Дальневосточный филиал,USB MODEM,Нет переплат,Нет простоя
20...80%,<98%,Малый,Внутрисетевые,b. <80%,2024-09-21,Прочее,6.0,Нет,Низкий,91-180 дней,Прочее,-0.3615734662956229,55+,До 80%,Ева МЛК,Нет,Муж,Более 15 дней,Прочее,35-44,10-25 тыс. руб.,>10 Mbps,98...99.5%,ВВ - 05.17 (S/M/S+/M+),Уральский филиал,UNDEFINED,Более 40 руб,Более 24 часов
20...80%,<98%,Большой,СНГ,b. <80%,2023-01-09,Прочее,4.0,Есть,Высокий,До 30 дней,Менее 5%,0.18539124927959788,25-34,Не VoLTE,Ева МЛК,Более 1GB,Муж,Более 15 дней,Более 80%,55+,25-50 тыс. руб.,5...10 Mbps,98...99.5%,ВВ - Архивный (версия v.07.16),Столичный филиал,SMARTPHONE,Более 40 руб,Более 24 часов
Более 80%,<98%,Средний,Персональные,d. >90%,2023-11-26,Прочее,3.0,Нет,Средний,181-366 дней,Прочее,-0.09036394297841213,55+,Более 80%,Ева Volte,Нет,Жен,До 15 дней,Прочее,25-34,25-50 тыс. руб.,2...5 Mbps,<98%,Переходи на НОЛЬ,Северо-Западный филиал,LAPTOP,До 40 руб,Нет простоя
Более 80%,<98%,Средний,ПД,c. 80-90%,2024-07-17,Android,1.0,Есть,Средний,91-180 дней,Прочее,-0.06155990986712758,25-34,Не VoLTE,Ева Volte,Нет,Жен,Более 15 дней,Более 80%,18-24,25-50 тыс. руб.,2...5 Mbps,Прочее,Включайся! - Линейка 2.2,Сибирский филиал,ROUTER,Более 40 руб,Более 24 часов
Менее 20%,<98%,Малый,Все мобильные,c. 80-90%,2024-03-22,Прочее,3.0,Нет,Высокий,91-180 дней,5...20%,-0.2526137886895755,55+,До 80%,Ева МЛК,До 100MB,Не определен,Нет,Прочее,55+,До 10 тыс. руб.,5...10 Mbps,98...99.5%,Без переплат - Линейка 2.3,Кавказский филиал,USB MODEM,Нет переплат,Нет простоя
Более 80%,<98%,Средний,Внутрисетевые,c. 80-90%,2023-12-02,Android,19.0,Нет,Средний,91-180 дней,Менее 5%,-0.04374540745962479,55+,Не VoLTE,Ева Volte,100MB - 1GB,nan,Нет,Менее 80%,55+,До 10 тыс. руб.,2...5 Mbps,98...99.5%,ВВ - Архивный (версия 12.16),Сибирский филиал,SMARTPHONE,Нет переплат,1-5 часов
Прочее,Прочее,Большой,Агентский конвергент,a. <100 MB,2024-08-05,iOS,9.0,Есть,Средний,Более 366 дней,Прочее,0.05086460408439792,25-34,До 80%,Ева МЛК,До 100MB,Не определен,Нет,Более 80%,55+,10-25 тыс. руб.,>10 Mbps,>99.5%,Агентская линейка 2021,Центральный филиал,SMARTPHONE,Нет переплат,1-5 часов
20...80%,98..99.5%,Средний,Без переплат,a. <100 MB,2024-08-29,Android,14.0,Нет,Низкий,До 30 дней,Прочее,-0.21399661055242378,45-54,Не VoLTE,Ева Volte,До 100MB,Муж,Более 15 дней,Более 80%,25-34,Нет данных,5...10 Mbps,>99.5%,Включайся! - Линейка 2 Огненный щит,Столичный филиал,DATA CARD,Более 40 руб,Более 24 часов
Менее 20%,98..99.5%,Большой,Сэмплинг,b. <80%,2023-08-30,Прочее,19.0,Есть,Высокий,91-180 дней,Прочее,0.5182663345594429,55+,До 80%,Ева МЛК,До 100MB,Не определен,До 15 дней,Менее 80%,45-54,До 10 тыс. руб.,>10 Mbps,98...99.5%,"Включайся! Конструктор 3.3 - допы (РН, ГБ, МИН)",Столичный филиал,USB MODEM,Более 40 руб,Нет простоя
Прочее,>99.5%,Малый,Сэмплинг,c. 80-90%,2023-08-07,Android,19.0,Нет,Высокий,181-366 дней,Прочее,0.5237939735538742,35-44,Более 80%,Ева МЛК,Нет,Жен,Нет,Прочее,25-34,25-50 тыс. руб.,2...5 Mbps,98...99.5%,Тарифные планы FMC - Объединяй 3.0,Сибирский филиал,SMART WATCH,Более 40 руб,Более 24 часов
Более 80%,<98%,Малый,Прочие,a. <100 MB,2023-04-21,iOS,13.0,Нет,Высокий,Более 366 дней,Прочее,-0.5930718494929695,55+,Не VoLTE,Ева+,Более 1GB,Жен,До 15 дней,Более 80%,55+,Более 50 тыс. руб,Прочее,98...99.5%,Моноинтернет от МегаФона,Северо-Западный филиал,SMARTPHONE,Нет переплат,Нет простоя
